title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
Optimizing Patient Exposure to Ionizing Radiation: Appropriateness: Follow-up CT Imaging for Incidentally Detected Pulmonary Nodules According to Recommended Guidelines ,N/A,N/A,N/A,364,"Percentage of final reports for CT imaging studies with a finding of an incidental pulmonary nodule for patients aged 35 years and older that contain an impression or conclusion that includes a recommended interval and modality for follow-up (e.g., type of imaging or biopsy) or for no follow-up, and source of recommendations (e.g., guidelines such as Fleischner Society, American Lung Association, American College of Chest Physicians)",Communication and Care Coordination,Process,American College of Radiology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_364_MIPSCQM.pdf,,,,FALSE,FALSE
Follow-Up Care for Children Prescribed ADHD Medication (ADD),CMS136v8,N/A,108,366,"Percentage of children 6-12 years of age and newly dispensed a medication for attention-deficit/hyperactivity disorder (ADHD) who had appropriate follow-up care.  Two rates are reported.  
a. Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase 
b. Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,FALSE,FALSE,,2,,simpleAverage,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms136v8,FALSE,FALSE
Depression Remission at Twelve Months,CMS159v7,0710e,710,370,The percentage of adolescent patients 12 to 17 years of age and adult patients 18 years of age or older with major depression or dysthymia who reached remission 12 months (+/- 60 days) after an index event,Effective Clinical Care,Outcome,Minnesota Community Measurement,-,-,X,X,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,multiPerformanceRate,2017,null,,TRUE,FALSE,,2,,"weightedAverage
",,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_370_MIPSCQM.pdf,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_MH1_CMSWebInterface_UPDATED.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms159v7,FALSE,FALSE
Depression Utilization of the PHQ-9 Tool,CMS160v7,0712e,N/A,371,The percentage of adolescent patients 12 to 17 years of age and adult patients age 18 and older with the diagnosis of major depression or dysthymia who have a completed PHQ-9 during each applicable 4 month period in which there was a qualifying depression encounter,Effective Clinical Care,Process,Minnesota Community Measurement,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,FALSE,FALSE,,3,,"weightedAverage
",,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms160v7,FALSE,FALSE
Maternal Depression Screening,CMS82v6,N/A,N/A,372,"The percentage of children who turned 6 months of age during the measurement year, who had a face-to-face visit between the clinician and the child during child's first 6 months, and who had a maternal depression screening for the mother at least once between 0 and 6 months of life",Community/Population Health,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms082v6,FALSE,FALSE
Closing the Referral Loop: Receipt of Specialist Report,CMS50v7,N/A,N/A,374,"Percentage of patients with referrals, regardless of age, for which the referring provider receives a report from the provider to whom the patient was referred",Communication and Care Coordination,Process,Centers for Medicare & Medicaid Services,-,-,X,-,-,X,X,-,X,-,X,X,-,X,X,X,X,X,X,-,-,X,-,X,X,X,-,X,X,X,X,X,X,-,-,X,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_374_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms050v7,FALSE,FALSE
Functional Status Assessment for Total Knee Replacement,CMS66v7,N/A,N/A,375,Percentage of patients 18 years of age and older who received an elective primary total knee arthroplasty (TKA) and completed a functional status assessment within 90 days prior to the surgery and in the 270-365 days after the surgery,Person and Caregiver-Centered Experience and Outcomes,Process,Centers for Medicare & Medicaid Services,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms066v7,FALSE,FALSE
Functional Status Assessment for Total Hip Replacement,CMS56v7,N/A,N/A,376,Percentage of patients 18 years of age and older who received an elective primary total hip arthroplasty (THA) and completed a functional status assessment within 90 days prior to the surgery and in the 270-365 days after the surgery,Person and Caregiver-Centered Experience and Outcomes,Process,Centers for Medicare & Medicaid Services,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms056v7,FALSE,FALSE
Functional Status Assessments for Congestive Heart Failure,CMS90v8,N/A,N/A,377,Percentage of patients 18 years of age and older with congestive heart failure who completed initial and follow-up patient-reported functional status assessments,Person and Caregiver-Centered Experience and Outcomes,Process,Centers for Medicare & Medicaid Services,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms090v8,FALSE,FALSE
Children Who Have Dental Decay or Cavities,CMS75v7,N/A,N/A,378,"Percentage of children, age 0-20 years, who have had tooth decay or cavities during the measurement period",Community/Population Health,Outcome,Centers for Medicare & Medicaid Services,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms075v7,FALSE,FALSE
"Primary Caries Prevention Intervention as Offered by Primary Care Providers, including Dentists",CMS74v8,N/A,N/A,379,"Percentage of children, age 0-20 years, who received a fluoride varnish application during the measurement period",Effective Clinical Care,Process,Centers for Medicare & Medicaid Services,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms074v8,FALSE,FALSE
Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment,CMS177v7,1365e,N/A,382,Percentage of patient visits for those patients aged 6 through 17 years with a diagnosis of major depressive disorder with an assessment for suicide risk,Patient Safety,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms177v7,FALSE,FALSE
Adherence to Antipsychotic Medications For Individuals with Schizophrenia,N/A,N/A,1879,383,Percentage of individuals at least 18 years of age as of the beginning of the measurement period with schizophrenia or schizoaffective disorder who had at least two prescriptions filled for any antipsychotic medication and who had a Proportion of Days Covered (PDC) of at least 0.8 for antipsychotic medications during the measurement period (12 consecutive months),Patient Safety,Intermediate Outcome,Health Services Advisory Group ,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_383_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Primary Rhegmatogenous Retinal Detachment Surgery: No Return to the Operating Room Within 90 Days of Surgery,N/A,N/A,N/A,384,Patients aged 18 years and older who had surgery for primary rhegmatogenous retinal detachment who did not require a return to the operating room within 90 days of surgery,Effective Clinical Care,Outcome,American Academy of Ophthalmology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_384_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Primary Rhegmatogenous Retinal Detachment Surgery: Visual Acuity Improvement Within 90 Days of Surgery,N/A,N/A,N/A,385,"Patients aged 18 years and older who had surgery for primary rhegmatogenous retinal detachment and achieved an improvement in their visual acuity, from their preoperative level, within 90 days of surgery in the operative eye",Effective Clinical Care,Outcome,American Academy of Ophthalmology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_385_MIPSCQM.pdf,,,,FALSE,FALSE
Amyotrophic Lateral Sclerosis (ALS) Patient Care Preferences,N/A,N/A,N/A,386,"Percentage of patients diagnosed with Amyotrophic Lateral Sclerosis (ALS) who were offered assistance in planning for end of life issues (e.g. advance directives, invasive ventilation, hospice) at least once annually",Person and Caregiver-Centered Experience and Outcomes,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_386_MIPSCQM.pdf,,,,FALSE,FALSE
Annual Hepatitis C Virus (HCV) Screening for Patients who are Active Injection Drug Users ,N/A,N/A,N/A,387,"Percentage of patients, regardless of age, who are active injection drug users who received screening for HCV infection within the 12-month reporting period",Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_387_MIPSCQM.pdf,,,,FALSE,FALSE
Cataract Surgery with Intra-Operative Complications (Unplanned Rupture of Posterior Capsule Requiring Unplanned Vitrectomy) ,N/A,N/A,N/A,388,Percentage of patients aged 18 years and older who had cataract surgery performed and had an unplanned rupture of the posterior capsule requiring vitrectomy,Patient Safety,Outcome,American Academy of Ophthalmology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_388_MIPSCQM.pdf,,,,FALSE,FALSE
Cataract Surgery: Difference Between Planned and Final Refraction ,N/A,N/A,N/A,389,Percentage of patients aged 18 years and older who had cataract surgery performed and who achieved a final refraction within +/- 1.0 diopters of their planned (target) refraction,Effective Clinical Care,Outcome,American Academy of Ophthalmology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_389_MIPSCQM.pdf,,,,FALSE,FALSE
Hepatitis C: Discussion and Shared Decision Making Surrounding Treatment Options,N/A,N/A,N/A,390,"Percentage of patients aged 18 years and older with a diagnosis of hepatitis C with whom a physician or other qualified healthcare professional reviewed the range of treatment options appropriate to their genotype and demonstrated a shared decision making approach with the patient. To meet the measure, there must be documentation in the patient record of a discussion between the physician or other qualified healthcare professional and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiveness, and patient preferences toward treatment",Person and Caregiver-Centered Experience and Outcomes,Process,American Gastroenterological Association,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_390_MIPSCQM.pdf,,,,FALSE,FALSE
Follow-Up After Hospitalization for Mental Illness (FUH),N/A,N/A,576,391,"The percentage of discharges for patients 6 years of age and older who were hospitalized for treatment of selected mental illness diagnoses and who had a follow-up visit with a mental health practitioner. Two rates are submitted: 
- The percentage of discharges for which the patient received follow-up within 30 days after discharge. 
- The percentage of discharges for which the patient received follow-up within 7 days after discharge.",Communication and Care Coordination,Process,National Committee for Quality Assurance,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,TRUE,FALSE,,2,,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_391_MIPSCQM.pdf,,,,FALSE,FALSE
HRS-12: Cardiac Tamponade and/or Pericardiocentesis Following Atrial Fibrillation Ablation,N/A,N/A,2474,392,"Rate of cardiac tamponade and/or pericardiocentesis following atrial fibrillation ablation This measure is submitted as four rates stratified by age and gender:
- Submission Age Criteria 1: Females 18-64 years of age
- Submission Age Criteria 2: Males 18-64 years of age
- Submission Age Criteria 3: Females 65 years of age and older
- Submission Age Criteria 4: Males 65 years of age and older",Patient Safety,Outcome,The Heart Rhythm Society,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,TRUE,TRUE,,5,,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_392_MIPSCQM.pdf,,,,TRUE,FALSE
"HRS-9: Infection within 180 Days of Cardiac Implantable Electronic Device (CIED) Implantation, Replacement, or Revision",N/A,N/A,N/A,393,"Infection rate following CIED device implantation, replacement, or revision
",Patient Safety,Outcome,The Heart Rhythm Society,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_393_MIPSCQM.pdf,,,,FALSE,FALSE
Immunizations for Adolescents,N/A,N/A,1407,394,The percentage of adolescents 13 years of age who had the recommended immunizations by their 13th birthday,Community/Population Health,Process,National Committee for Quality Assurance,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,FALSE,FALSE,,4,,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_394_MIPSCQM.pdf,,,,FALSE,FALSE
Lung Cancer Reporting (Biopsy/Cytology Specimens) ,N/A,N/A,N/A,395,Pathology reports based on biopsy and/or cytology specimens with a diagnosis of primary non-small cell lung cancer classified into specific histologic type or classified as NSCLC-NOS with an explanation included in the pathology report,Communication and Care Coordination,Process,College of American Pathologists,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_395_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_395_MedicarePartBClaims.pdf,,,FALSE,FALSE
Lung Cancer Reporting (Resection Specimens),N/A,N/A,N/A,396,"Pathology reports based on resection specimens with a diagnosis of primary lung carcinoma that include the pT category, pN category and for non-small cell lung cancer, histologic type",Communication and Care Coordination,Process,College of American Pathologists,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_396_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_396_MedicarePartBClaims.pdf,,,FALSE,FALSE
Melanoma Reporting,N/A,N/A,N/A,397,"Pathology reports for primary malignant cutaneous melanoma that include the pT category and a statement on thickness, ulceration and mitotic rate",Communication and Care Coordination,Process,College of American Pathologists,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_397_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_397_MedicarePartBClaims.pdf,,,FALSE,FALSE
Optimal Asthma Control ,N/A,N/A,N/A,398,Composite measure of the percentage of pediatric and adult patients whose asthma is well-controlled as demonstrated by one of three age appropriate patient reported outcome tools and not at risk for exacerbation,Effective Clinical Care,Outcome,Minnesota Community Measurement,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,TRUE,FALSE,,7,,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_398_MIPSCQM.pdf,,,,FALSE,FALSE
One-Time Screening for Hepatitis C Virus (HCV) for Patients at Risk,N/A,N/A,3059,400,"Percentage of patients aged 18 years and older with one or more of the following: a history of injection drug use, receipt of a blood transfusion prior to 1992, receiving maintenance hemodialysis, OR birthdate in the years 1945-1965 who received one-time screening for hepatitis C virus (HCV) infection",Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_400_MIPSCQM.pdf,,,,FALSE,FALSE
 Hepatitis C: Screening for Hepatocellular Carcinoma (HCC) in Patients with Cirrhosis,N/A,N/A,N/A,401,"Percentage of patients aged 18 years and older with a diagnosis of chronic hepatitis C cirrhosis who underwent imaging with either ultrasound, contrast enhanced CT or MRI for hepatocellular carcinoma (HCC) at least once within the 12 month submission period",Effective Clinical Care,Process,American Gastroenterological Association,-,-,-,-,-,X,-,-,-,-,X,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_401_MIPSCQM.pdf,,,,FALSE,FALSE
