title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,measureArea,isHighPriority,appropriateUse,primarySteward,firstPerformanceYear,lastPerformanceYear,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,audiology,cardiology,certifiedNurseMidwife,chiropracticMedicine,clinicalSocialWork,dentistry,dermatology,diagnosticRadiology,electrophysiologyCardiacSpecialist,emergencyMedicine,endocrinology,familyMedicine,gastroenterology,generalSurgery,geriatrics,hospitalists,infectiousDisease,internalMedicine,interventionalRadiology,mentalBehavioralHealth,nephrology,neurology,neurosurgical,nutritionDietician,obstetricsGynecology,oncology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,physicalTherapyOccupationalTherapy,plasticSurgery,podiatry,preventiveMedicine,pulmonology,radiationOncology,rheumatology,skilledNursingFacility,speechLanguagePathology,thoracicSurgery,urgentCare,urology,vascularSurgery,"additionalGuidence
",telehealthModifiers,isInverse,nonCoveredDenominator,numStrataRegistry,overallAlgorithm,perFrateDescriptions,isNonProportional,,,,,,,,,suppressionReason,,,,,,,,removalReason,,,,,,,,,truncationReason,,,,,,,,flatReason,programMIPS,programPCF,programAPP1,requiredPCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality of Life Assessment For Patients With Primary Headache Disorders,N/A,N/A,N/A,435,Percentage of patients with a diagnosis of primary headache disorder whose health related quality of life (HRQoL) was assessed with a tool(s) during at least two visits during the 12 month measurement period AND whose health related quality of life score stayed the same or improved.,Effective Clinical Care,Patient Reported Outcome,Functional Outcomes,X,-,American Academy of Neurology,2017,2021,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Claims: Two denominator eligible visits for the same TIN/NPI with two different dates of service are required to be denominator eligible. The QDC needs to be reported on the 2nd visit (based on date of service) or a subsequent visit if more than two visits are found within the reporting period. A QDC submitted on the first visit (based on date of service) in the reporting period will not be counted. The most advantageous QDC should be utilized if multiple QDCs are submitted on any visit but the first visit within the reporting period.                                                                          

For the numerator, quality of life assessments with MIDAS must be separated by at least 90 days (4 weeks for any other tool). 

",X,N,Y,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiation Consideration for Adult CT: Utilization of Dose Lowering Techniques,N/A,N/A,N/A,436,"Percentage of final reports for patients aged 18 years and older undergoing computed tomography (CT) with documentation that one or more of the following dose reduction techniques were used:
• Automated exposure control.
• Adjustment of the mA and/or kV according to patient size.
• Use of iterative reconstruction technique.
",Effective Clinical Care,Process,"Appropriate Use of Healthcare ",-,-,American College of Radiology/ American Medical Association/ National Committee for Quality Assurance,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rate of Surgical Conversion from Lower Extremity Endovascular Revascularization Procedure,N/A,N/A,N/A,437,"Inpatients assigned to endovascular treatment for obstructive arterial disease, the percent of patients who undergo unplanned major amputation or surgical bypass within 48 hours of the index procedure.",Patient Safety,Outcome,Preventable Healthcare Harm,X,-,"Society of Interventional Radiology ",2017,2021,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019
2020",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Include only patients undergoing an endovascular lower extremity revascularization procedure through December 29 of the performance period. This will allow the evaluation of at least 48 hours of the procedure within the reporting year.
",-,Y,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statin Therapy for the Prevention and Treatment of Cardiovascular Disease,CMS347v5,N/A,N/A,438,"Percentage of the following patients - all considered at high risk of cardiovascular events - who were prescribed or were on statin therapy during the measurement period: 
*All patients who were previously diagnosed with or currently have an active diagnosis of clinical atherosclerotic cardiovascular disease (ASCVD), including an ASCVD procedure; OR 
*Patients aged >= 20 years who have ever had a low-density lipoprotein cholesterol (LDL-C) level >= 190 mg/dL or were previously diagnosed with or currently have an active diagnosis of familial hypercholesterolemia; OR 
*Patients aged 40-75 years with a diagnosis of diabetes",Effective Clinical Care,Process,Management of Chronic Conditions,-,-,Centers for Medicare & Medicaid Services,2017,Measure is still in program,-,-,X,X,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"The measure has multiple submission criteria. This measure requires the submission of only one performance rate and data completeness.  

",-,N,Y,1,N/A,N/A,N,,,,"This measure is not scored for the WI ",,,,,"This measure does not have a MSSP Benchmark. 
Unlike other collection types, we will not attempt to calculate a performance period benchmark if there isn’t an existing benchmark or if the measure is classified as pay-for-reporting. CMS Web Interface measures without an existing benchmark or classified as pay-for-reporting do not count toward Quality performance category score, as long as data completeness requirements are met.
",,,,"This measure is not scored for the WI ",,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Appropriate Screening Colonoscopy,N/A,N/A,N/A,439,The percentage of screening colonoscopies performed in patients greater than or equal to 86 years of age from January 1 to December 31.,Efficiency and Cost Reduction,Efficiency,Appropriate Use of Healthcare,X,X,American Gastroenterological Association,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,N,N,N,N,N,Y (2021),2021,The measure is being updated to include patients 50+ in the denominator. The numerator options were updated to reflect the change in denominator.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Cancer: Biopsy Reporting Time – Pathologist to Clinician,N/A,N/A,N/A,440,"Percentage of biopsies with a diagnosis of cutaneous Basal Cell Carcinoma (BCC) and Squamous Cell Carcinoma (SCC), or melanoma (including in situ disease) in which the pathologist communicates results to the clinician within 7 days from the time when the tissue specimen was received by the pathologist.",Communication and Care Coordination,Process,Transfer of Health Information and Interoperability,X,-,American Academy of Dermatology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,Y (2018),First,2018,Annual analysis of ICD10 codes indicated greater than 10 percent impacted,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ischemic Vascular Disease (IVD) All or None Outcome Measure (Optimal Control),N/A,N/A,N/A,441,"The IVD All-or-None Measure is one outcome measure (optimal control). The measure contains four goals. All four goals within a measure must be reached in order to meet that measure. The numerator for the all-or-none measure should be collected from the organization's total IVD denominator. All-or-None Outcome Measure (Optimal Control) - Using the IVD denominator optimal results include:

•  Most recent blood pressure (BP) measurement is less than or equal to 140/90 mm Hg -- AND

• Most recent tobacco status is Tobacco Free -- AND

• Daily Aspirin or Other Antiplatelet Unless Contraindicated -- AND

• Statin Use Unless Contraindicated",Effective Clinical Care,Intermediate Outcome,Management of Chronic Conditions,X,-,Wisconsin Collaborative for Healthcare Quality,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,-,-,"X
2018
2019
2020
2021
2022","N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persistence of Beta-Blocker Treatment After a Heart Attack,N/A,N/A,0071,442,The percentage of patients 18 years of age and older during the measurement year who were hospitalized and discharged from July 1 of the year prior to the measurement year to June 30 of the measurement year with a diagnosis of acute myocardial infarction (AMI) and who were prescribed persistent beta-blocker treatment for six months after discharge.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,National Committee for Quality Assurance,2017,2020,-,-,-,-,-,X,-,-,-,"2018
2019",-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,"2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Recommended Cervical Cancer Screening in Adolescent Females,N/A,N/A,N/A,443,The percentage of adolescent females 16–20 years of age who were screened unnecessarily for cervical cancer.,Patient Safety,Process,"Appropriate Use of Healthcare ",X,X,National Committee for Quality Assurance,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication Management for People with Asthma,N/A,N/A,N/A,444,The percentage of patients 5-64 years of age during the performance period who were identified as having persistent asthma and were dispensed appropriate medications that they remained on for at least 75% of their treatment period.,Efficiency and Cost Reduction,Process,"Medication Management ",X,-,National Committee for Quality Assurance,2017,2022,-,-,-,-,-,X,"2017
2021",-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,"2018
2019
2020
2021",-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,"2020
2021",-,-,-,-,-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk-Adjusted Operative Mortality for Coronary Artery Bypass Graft (CABG),N/A,N/A,0119,445,"Percent of patients aged 18 years and older undergoing isolated CABG who die, including both all deaths occurring during the hospitalization in which the CABG was performed, even if after 30 days, and those deaths occurring after discharge from the hospital, but within 30 days of the procedure.",Effective Clinical Care,Outcome,Risk Adjusted Mortality,X,-,Society of Thoracic Surgeons,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operative Mortality Stratified by the Five STS-EACTS Mortality Categories,N/A,N/A,0733,446,"Percent of patients undergoing index pediatric and/or congenital heart surgery who die, including both 1) all deaths occurring during the hospitalization in which the procedure was performed, even if after 30 days (including patients transferred to other acute care facilities), and 2) those deaths occurring after discharge from the hospital, but within 30 days of the procedure, stratified by the five STAT Mortality Levels, a multi-institutional validated complexity stratification tool.",Patient Safety,Outcome,Risk Adjusted Mortality,X,-,Society of Thoracic Surgeons,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"There are two submission criteria for this measure and one performance rate.",-,Y,Y,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlamydia Screening and Follow Up,N/A,N/A,N/A,447,The percentage of female adolescents 16 years of age who had a chlamydia screening test with proper follow-up during the measurement period,Community/Population Health,Process,Preventive Care,-,-,National Committee for Quality Assurance,2017,2019,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,-,-,-,-,2018,2018,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",,N,Y,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriate Workup Prior to Endometrial Ablation,N/A,N/A,N/A,448,"Percentage of patients, aged 18 years and older, who undergo endometrial sampling or hysteroscopy with biopsy and results are documented before undergoing an endometrial ablation.",Communication and Care Coordination,Process,"Appropriate Use of Healthcare ",X,-,Centers for Medicare & Medicaid Services,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HER2 Negative or Undocumented Breast Cancer Patients Spared Treatment with HER2-Targeted Therapies,N/A,N/A,1857,449,Percentage of female patients (aged 18 years and older) with breast cancer who are human epidermal growth factor receptor 2 (HER2)/neu negative who are not administered HER2-targeted therapies.,Efficiency and Cost Reduction,Process,Preventable Healthcare Harm,X,X,American Society of Clinical Oncology,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriate Treatment for Patients with Stage I (T1c) - III HER2 Positive Breast Cancer,N/A,N/A,1858,450,Percentage of female patients aged 18 to 70 with stage I (T1c) - III HER2 positive breast cancer for whom appropriate treatment is initiated.,Effective Clinical Care,Process,Appropriate Use of Healthcare,X,X,American Society of Clinical Oncology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,N,N,N,N,N,(Y) 2019,Suppression,2019,"In January of 2019, the FDA approved biosimilar drugs. ASCO approved it as a performance met. CMS/PIMMS agreed to allow denominator exception for 2019. This was communicated to Qualified Registries QCDRs 1/21. (Late guidance consideration)",N,N,N,N,N,Y (2021),2021,The measure is being updated to assess if adjuvant treatment includes both chemotherapy and HER2-targeted therapy for all female patients aged 18 - 70 with stage I (T1c) - III HER2 positive breast cancer.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAS (KRAS and NRAS) Gene Mutation Testing Performed for Patients with Metastatic Colorectal Cancer who receive Anti-epidermal Growth Factor Receptor (EGFR) Monoclonal Antibody Therapy,N/A,N/A,1859,451,Percentage of adult patients (aged 18 or over) with metastatic colorectal cancer who receive anti-epidermal growth factor receptor monoclonal antibody therapy for whom RAS (KRAS and NRAS) gene mutation testing was performed.,Effective Clinical Care,Process,Appropriate Use of Healthcare,-,-,American Society of Clinical Oncology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patients with Metastatic Colorectal Cancer and RAS (KRAS or NRAS) Gene Mutation Spared Treatment with Anti-epidermal Growth Factor Receptor (EGFR) Monoclonal Antibodies,N/A,N/A,1860,452,Percentage of adult patients (aged 18 or over) with metastatic colorectal cancer and RAS (KRAS or NRAS) gene mutation spared treatment with anti-EGFR monoclonal antibodies.,Patient Safety,Process,Appropriate Use of Healthcare,X,X,American Society of Clinical Oncology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of Patients Who Died from Cancer Receiving Chemotherapy in the Last 14 Days of Life (lower score – better),N/A,N/A,0210,453,Percentage of patients who died from cancer receiving chemotherapy in the last 14 days of life.,Effective Clinical Care,Process,"Appropriate Use of Healthcare ",X,X,American Society of Clinical Oncology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of Patients who Died from Cancer with More than One Emergency Department Visit in the Last 30 Days of Life (lower score – better),N/A,N/A,N/A,454,Percentage of patients who died from cancer with more than one emergency department visit in the last 30 days of life.,Effective Clinical Care,Outcome,"Appropriate Use of Healthcare ",X,X,American Society of Clinical Oncology,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,Y,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of Patients Who Died from Cancer Admitted to the Intensive Care Unit (ICU) in the Last 30 Days of Life (lower score – better),N/A,N/A,0213,455,Percentage of patients who died from cancer admitted to the ICU in the last 30 days of life.,Effective Clinical Care,Outcome,"Appropriate Use of Healthcare ",X,X,American Society of Clinical Oncology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of Patients Who Died From Cancer Not Admitted To Hospice (lower score – better),N/A,N/A,0215,456,Percentage of patients who died from cancer not admitted to hospice.,Effective Clinical Care,Process,"Appropriate Use of Healthcare ",X,X,American Society of Clinical Oncology,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,Y,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of Patients Who Died from Cancer Admitted to Hospice for Less than 3 days (lower score – better),N/A,N/A,0216,457,"Percentage of patients who died from cancer, and admitted to hospice and spent less than 3 days there.",Effective Clinical Care,Outcome,End of Life Care According to Preferences,X,X,American Society of Clinical Oncology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All-cause Hospital Readmission,N/A,N/A,1789,458,The 30-day All-Cause Hospital Readmission measure is a risk-standardized readmission rate for beneficiaries age 65 or older who were hospitalized at a short-stay acute care hospital and experienced an unplanned readmission for any cause to an acute care hospital within 30 days of discharge.,"Communication and Care Coordination ",Outcome,Admissions and Readmissions to Hospitals,X,-,Yale University,2017,2021,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,Y,N,1,N/A,,N,N,N,N,N,(Y) 2020,N,,2020,"Due to public health emergency, there is geographical variance in the claims data which impacts performance calculations for this administrative claims measure and will likely produce misleading results.",,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Pain After Lumbar Discectomy/Laminectomy,N/A,N/A,N/A,459,"For patients 18 years of age or older who had a lumbar discectomy/laminectomy procedure, back pain is rated by the patients as less than or equal to 3.0 OR an improvement of 5.0 points or greater on the Visual Analog Scale (VAS) Pain scale at three months (6 to 20 weeks) postoperatively.",Person and Caregiver-Centered Experience and Outcomes,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,"Minnesota Community Measurement ",2018,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,N,N,N,N,N,"Y (2020) ",2020,This measure was revised from a continuous variable to a proportional analytic for the 2020 performance period.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Pain After Lumbar Fusion,N/A,N/A,N/A,460,"For patients 18 years of age or older who had a lumbar fusion procedure, back pain is rated by the patient as less than or equal to 3.0 OR an improvement of 5.0 points or greater on the Visual Analog Scale (VAS) Pain scale at one year (9 to 15 months) postoperatively.
",Person and Caregiver-Centered Experience and Outcomes,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,Minnesota Community Measurement,2018,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,N,N,N,N,N,"Y (2020) ",2020,This measure was revised from a continuous variable to a proportional analytic for the 2020 performance period.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
